INCIDENT_KEY,OCCUR_MONTH,OCCUR_DATE,OCCUR_YEAR,OCCUR_TIME,OCCUR_MINUTE,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
169180023,9-11,1-10,2017,0-6,40-59,STATEN ISLAND,120,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.63812599100004,-74.08746692099999
169180027,9-11,1-10,2017,18-24,0-19,BRONX,50,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK HISPANIC,40.869060690000026,-73.90224225899993
169180025,9-11,1-10,2017,12-18,20-39,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,UNKNOWN,UNKNOWN,18-24,M,BLACK,40.69645001400005,-73.94360673699998
169180024,9-11,1-10,2017,12-18,20-39,BROOKLYN,67,0,UNKNOWN,false,18-24,M,BLACK,18-24,M,BLACK,40.63913704300006,-73.951236227
169180022,9-11,1-10,2017,0-6,20-39,BROOKLYN,61,2,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,ASIAN / PACIFIC ISLANDER,40.59613433800007,-73.93961890199995
156603440,9-11,1-10,2016,18-24,40-59,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,<18,M,BLACK,40.65092883700004,-73.93029673299998
156603439,9-11,1-10,2016,18-24,40-59,BRONX,41,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,WHITE HISPANIC,40.81410317400002,-73.90202674799998
156603438,9-11,1-10,2016,6-12,40-59,MANHATTAN,32,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,<18,M,BLACK,40.82453835300004,-73.93708114099996
156552658,9-11,1-10,2016,0-6,0-19,QUEENS,113,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.670030345000036,-73.78311288699997
146014287,9-11,1-10,2015,18-24,0-19,BRONX,47,2,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.883658466000036,-73.847847932
146014286,9-11,1-10,2015,18-24,0-19,MANHATTAN,28,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.80270731500008,-73.94918758799997
146013532,9-11,1-10,2015,18-24,0-19,BROOKLYN,77,0,UNKNOWN,true,25-44,M,BLACK,18-24,M,BLACK,40.67445924500004,-73.93890989599998
145992814,9-11,1-10,2015,6-12,40-59,BROOKLYN,70,0,MULTI DWELL - APT BUILD,false,<18,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,40.62638319900003,-73.96162067399997
138627598,9-11,1-10,2014,12-18,20-39,BROOKLYN,73,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,18-24,M,BLACK,40.66641058000005,-73.91948466499997
92525610,9-11,1-10,2013,0-6,20-39,BROOKLYN,75,0,MULTI DWELL - PUBLIC HOUS,true,UNKNOWN,UNKNOWN,UNKNOWN,18-24,M,BLACK,40.65695242200008,-73.88723913599993
92507649,9-11,1-10,2013,0-6,20-39,BROOKLYN,79,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.693333333000055,-73.96000266999994
92507648,9-11,1-10,2013,0-6,40-59,MANHATTAN,17,0,BAR/NIGHT CLUB,false,25-44,M,BLACK,25-44,M,BLACK,40.754915640000036,-73.97247596599993
92525805,9-11,1-10,2013,12-18,0-19,QUEENS,113,0,UNKNOWN,false,25-44,M,BLACK,25-44,M,BLACK,40.686328495000055,-73.75944958499997
86650273,9-11,1-10,2012,0-6,0-19,QUEENS,113,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,18-24,M,BLACK,40.69020274700006,-73.75748479699998
86650272,9-11,1-10,2012,0-6,0-19,MANHATTAN,28,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.79814608700008,-73.95035767199995
86664788,9-11,1-10,2012,18-24,20-39,STATEN ISLAND,120,0,UNKNOWN,true,25-44,M,BLACK,18-24,M,BLACK,40.63652500300003,-74.11623137199997
86651100,9-11,1-10,2012,12-18,40-59,BROOKLYN,77,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.677659418000076,-73.94977317399997
80667853,9-11,1-10,2011,18-24,0-19,BRONX,44,0,UNKNOWN,false,18-24,M,BLACK,18-24,F,BLACK,40.84194433400006,-73.91424855599996
80667853,9-11,1-10,2011,18-24,0-19,BRONX,44,0,UNKNOWN,false,18-24,M,WHITE HISPANIC,18-24,F,BLACK,40.84194433400006,-73.91424855599996
80667853,9-11,1-10,2011,18-24,0-19,BRONX,44,0,UNKNOWN,false,18-24,M,BLACK,18-24,M,BLACK,40.84194433400006,-73.91424855599996
80667853,9-11,1-10,2011,18-24,0-19,BRONX,44,0,UNKNOWN,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK,40.84194433400006,-73.91424855599996
80667641,9-11,1-10,2011,18-24,40-59,QUEENS,104,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,40.70444489000005,-73.91197286999993
80667641,9-11,1-10,2011,18-24,40-59,QUEENS,104,0,MULTI DWELL - APT BUILD,false,<18,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,40.70444489000005,-73.91197286999993
80655008,9-11,1-10,2011,12-18,20-39,BROOKLYN,67,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,18-24,M,BLACK,40.652409353000046,-73.95433667599998
80654704,9-11,1-10,2011,6-12,20-39,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,<18,M,BLACK,18-24,M,BLACK,40.75710547500006,-73.90804828499995
80653750,9-11,1-10,2011,0-6,20-39,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,UNKNOWN,UNKNOWN,UNKNOWN,18-24,M,BLACK,40.63888119800004,-73.94394003499998
74524209,9-11,1-10,2010,0-6,40-59,BRONX,52,0,MULTI DWELL - APT BUILD,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,40.86777088900004,-73.88463279099993
74524209,9-11,1-10,2010,0-6,40-59,BRONX,52,0,MULTI DWELL - APT BUILD,false,18-24,M,WHITE HISPANIC,<18,M,BLACK HISPANIC,40.86777088900004,-73.88463279099993
74549230,9-11,1-10,2010,18-24,0-19,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,UNKNOWN,UNKNOWN,18-24,M,BLACK HISPANIC,40.812525348000065,-73.92442689199999
74549231,9-11,1-10,2010,18-24,20-39,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,UNKNOWN,UNKNOWN,25-44,M,BLACK,40.69313863700007,-73.93608724999996
74532192,9-11,1-10,2010,12-18,0-19,BROOKLYN,71,0,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,<18,M,BLACK,40.66132742400004,-73.94268848099993
74532192,9-11,1-10,2010,12-18,0-19,BROOKLYN,71,0,UNKNOWN,true,UNKNOWN,UNKNOWN,UNKNOWN,<18,M,BLACK,40.66132742400004,-73.94268848099993
74530911,9-11,1-10,2010,6-12,40-59,BROOKLYN,75,0,UNKNOWN,false,<18,M,BLACK,18-24,M,BLACK,40.66468589900006,-73.89452887499993
74530911,9-11,1-10,2010,6-12,40-59,BROOKLYN,75,0,UNKNOWN,false,<18,M,BLACK,25-44,M,BLACK,40.66468589900006,-73.89452887499993
65602677,9-11,1-10,2009,18-24,0-19,QUEENS,106,0,MULTI DWELL - APT BUILD,true,25-44,M,BLACK,25-44,M,WHITE,40.669312786000035,-73.84123904399996
65602677,9-11,1-10,2009,18-24,0-19,QUEENS,106,0,MULTI DWELL - APT BUILD,true,25-44,M,WHITE,25-44,M,WHITE,40.669312786000035,-73.84123904399996
65590948,9-11,1-10,2009,18-24,0-19,BRONX,43,0,UNKNOWN,false,18-24,M,BLACK HISPANIC,25-44,M,BLACK,40.83064129700006,-73.87487918899996
65602676,9-11,1-10,2009,18-24,20-39,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,false,UNKNOWN,U,UNKNOWN,<18,M,BLACK,40.59233618200005,-73.98148695899994
65575827,9-11,1-10,2009,12-18,40-59,QUEENS,101,0,UNKNOWN,false,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,40.60327400700004,-73.75310453299994
51110050,9-11,1-10,2008,18-24,0-19,BROOKLYN,75,0,UNKNOWN,false,25-44,M,BLACK,18-24,M,BLACK,40.66661910700003,-73.87613849199995
51110050,9-11,1-10,2008,18-24,0-19,BROOKLYN,75,0,UNKNOWN,false,25-44,M,BLACK,25-44,M,BLACK,40.66661910700003,-73.87613849199995
